Protocol,direction,security_group_name,security_group_rule_name,Source,Destination ,Ports,ICMP_type,Description,
TCP,Ingress,OCIDEVSITSL03,,VCN,-,22,,SSH,
TCP,Ingress,,,VCN,-,111,,,
UDP,Ingress,,,VCN,-,111,,,
TCP,Ingress,,,VCN,-,2048-2050,,,
UDP,Ingress,,,VCN,-,2048,,,
TCP,Ingress,,,Wood On-Premise,-,22,,SSH,
TCP,Ingress,,,Wood On-Premise,-,80,,HTTP,
TCP,Ingress,,,Wood On-Premise,-,8443,,HTTPS,
TCP,Ingress,,,Wood On-Premise,-,7000-7099,,HTTP/HTTPS WL,
ICMP,Ingress,,,Wood On-Premise,-,-,,,
TCP,Ingress,,,DevSit Management Subnet,-,22,,SSH,
TCP,Ingress,,,DevSit Application Subnet,-,111,,,
TCP,Ingress,,,DevSit Application Subnet,-,2049,,,
ICMP,Ingress,,,DevSit Database Subnet,-,-,,,
ICMP,Ingress,,,DevSit Application Subnet,-,-,,,
TCP,Ingress,,,DevSit Application Subnet,-,22,,SSH,
TCP,Ingress,,,DevSit Application Subnet,-,5556-5557,,,
TCP,Ingress,,,DevSit Application Subnet,-,7001-7003,,,
TCP,Ingress,,,DevSit Application Subnet,-,17001-17002,,,
TCP,Ingress,,,DevSit Application Subnet,-,7201-7202,,,
TCP,Ingress,,,DevSit Application Subnet,-,17201-17202,,,
TCP,Ingress,,,DevSit Application Subnet,-,7401-7402,,,
TCP,Ingress,,,DevSit Application Subnet,-,17401-17402,,,
TCP,Ingress,,,DevSit Application Subnet,-,7601-7602,,,
TCP,Ingress,,,DevSit Application Subnet,-,17601-17602,,,
TCP,Ingress,,,DevSit Application Subnet,-,6801-6802,,,
TCP,Ingress,,,DevSit Application Subnet,-,16801-16802,,,
TCP,Ingress,,,DevSit Application Subnet,-,9999-10000,,,
TCP,Ingress,,,DevSit Application Subnet,-,1626,,,
TCP,Ingress,,,DevSit Application Subnet,-,12345,,,
TCP,Ingress,,,DevSit Application Subnet,-,36501-36502,,,
TCP,Ingress,,,Nonprod VCN,-,7,,,
TCP,Ingress,,,Nonprod VCN,-,7001-7003,,,
TCP,Ingress,,,Nonprod VCN,-,9704,,,
TCP,Ingress,,,Nonprod VCN,-,5556-5557,,,
TCP,Ingress,,,Nonprod VCN,-,9556,,,
TCP,Ingress,,,Wood On-Premise,-,6008,,,
TCP,Ingress,,,Wood On-Premise,-,9704,,,
TCP,Ingress,,,Wood External VPN,-,6008,,,
TCP,Ingress,,,Wood External VPN,-,9704,,,
TCP,Ingress,,,DevSit Application Subnet,-,443-452,,,
TCP,Ingress,,,Nonprod VCN,-,6000-9999,,,
TCP,Ingress,,,DevSit DMZ Subnet,-,8000-8001,,,
TCP,Ingress,,,VCN,-,443-452,,,
TCP,Ingress,,,DevSit Application Subnet,-,8000-8009,,,
TCP,Ingress,,,Wood On-Premise,-,7001-9999,,,
TCP,Ingress,,,Wood On-Premise,-,4001-4299,,,
TCP,Ingress,,,DevSit Application Subnet,-,443-452,,,
TCP,Ingress,,,Wood On-Premise,-,443-452,,,
TCP,Ingress,,,Wood On-Premise,-,3060,,,
TCP,Ingress,,,Wood On-Premise,-,3131,,,
TCP,Ingress,,,Prod Management Subnet,-,3060,,,
TCP,Ingress,,,Prod Management Subnet,-,3131,,,
-,Ingress,,,10.41.76.194/32,-,-,,,
TCP,Ingress,,,172.25.25.0/24,-,1400-1499,,,
TCP,Ingress,,,172.25.28.0/24,-,1400-1499,,,
-,Egress,,,-,0.0.0.0/0,-,,,
,,,,,,,,,
,,,,,,,,,
TCP,Ingress,OCIDEVSITSL04,,VCN,-,22,,SSH,
TCP,Ingress,,,VCN,-,111,,,
